hr,ndcg
0.09701986754966888,0.04528338823726915
0.5182119205298014,0.31370163967153386
0.5960264900662252,0.36341829851921575
0.6408940397350993,0.39144048114330215
0.6639072847682119,0.4066241968908874
0.6754966887417219,0.415570133682141
0.6806291390728477,0.42198225410470136
0.688907284768212,0.42723740754881573
0.6935430463576159,0.43019216556453566
0.6947019867549669,0.43285215058704735
0.6993377483443709,0.435406052446734
0.7026490066225165,0.4383968653035174
0.7041390728476821,0.4398041992692485
0.7087748344370861,0.4429058198809756
0.708112582781457,0.4450650888529082
0.706953642384106,0.44566732308053875
0.7074503311258278,0.4465183526937058
0.7084437086092715,0.4477912980900437
0.7079470198675497,0.44776341022138144
0.7115894039735099,0.4486109301162763
0.7105960264900663,0.4480935071779617
0.7089403973509933,0.44728329532508054
0.7114238410596027,0.44806886148260106
0.7089403973509933,0.4485041037766727
0.7096026490066225,0.44775606237947596
0.7105960264900663,0.4472301473709942
0.7097682119205299,0.44703156375928366
0.7077814569536424,0.446648788594571
0.7091059602649007,0.4470316956385243
0.7061258278145696,0.4452677281585904
0.708112582781457,0.4462629964880812
