hr,ndcg
0.10745033112582782,0.049815564098328935
0.5314569536423841,0.2955978840289544
0.5961920529801324,0.3344337079269696
0.6183774834437086,0.35394897572184497
0.6408940397350993,0.37016905634092107
0.6513245033112582,0.37886072561961903
0.6543046357615894,0.3828106743392687
0.6740066225165563,0.3965500143175734
0.6670529801324503,0.39066659851240315
0.6645695364238411,0.3942270920690817
0.6723509933774835,0.396766788554806
0.6798013245033112,0.4036114471338661
0.6776490066225166,0.40212799845359454
0.6812913907284768,0.40268852760025053
0.6731788079470199,0.40221401600284273
0.677317880794702,0.4041356708440946
0.6786423841059602,0.40745120459146283
0.6769867549668874,0.4064797568683503
0.6850993377483444,0.4059407056827645
0.6836092715231789,0.4081727632400191
0.6842715231788079,0.41252992135098404
0.6862582781456954,0.41027956324319204
0.6844370860927153,0.40959546071024544
0.6725165562913907,0.4026573361189401
0.6814569536423841,0.40805434667238927
0.679635761589404,0.4074158033420199
0.6806291390728477,0.408208731935572
0.6811258278145695,0.40716434341670976
0.6822847682119205,0.40999800599884056
0.6846026490066225,0.40836437271867626
0.6778145695364238,0.4083457631880525
