hr,ndcg
0.10198675496688742,0.046244951356197495
0.5385761589403973,0.29904577187231207
0.5933774834437087,0.34073310464617806
0.6274834437086093,0.3607972472799138
0.6420529801324504,0.3725359136301267
0.6478476821192053,0.3740785108143045
0.6635761589403973,0.3871294357082907
0.6591059602649006,0.39211756377786144
0.6624172185430464,0.3939800625076679
0.6783112582781456,0.4022341944471105
0.6735099337748345,0.400956417340042
0.6740066225165563,0.4009676728967956
0.6809602649006623,0.40502239883073127
0.6816225165562914,0.40424603756427674
0.6819536423841059,0.4057786482391244
0.6791390728476822,0.4050124552755833
0.6837748344370861,0.4047948475278305
0.6809602649006623,0.4047790229773869
0.6819536423841059,0.4054543714844867
0.6867549668874172,0.4100061038184863
0.6846026490066225,0.408462486548249
0.6806291390728477,0.4093998062505774
0.6846026490066225,0.40997950972712455
0.6829470198675497,0.41007396635337695
0.6829470198675497,0.41126482129439823
0.680794701986755,0.40796179608671257
0.6829470198675497,0.4106982111443863
0.6788079470198676,0.4101427050209145
0.6834437086092715,0.4124673434970217
0.6850993377483444,0.4118255770299025
0.6869205298013245,0.41158672409559405
